Model,Dataset,PCA,Scaling,MSE,MAE,R2
Ridge,Best Features RF,9,Standard Scaler,0.0699159547576939,0.21681760195912414,0.08822054709541356
Ridge,Best Features RF,11,Standard Scaler,0.06835969402448704,0.21339590954908738,0.10850028730778036
Ridge,Best Features RF,98,Standard Scaler,0.04549290583393144,0.16982348101472453,0.40580078440874523
Ridge,Best Features RF,False,Power Transform,0.04319326969856928,0.16413933744396192,0.43582833321235254
Ridge,Best Features RF,9,Power Transform,0.06974414555262964,0.21657271374143358,0.09010364940701879
Ridge,Best Features RF,11,Power Transform,0.06561878990098124,0.2076495736736131,0.14384396443822395
Ridge,Best Features RF,98,Power Transform,0.04462342581180756,0.16805798744287276,0.41707982815896616
Ridge,Best Features RF,False,Power Transform Standardized,0.04328664699669538,0.16433371236405114,0.4346461783826129
Ridge,Best Features RF,9,Power Transform Standardized,0.06877153097868804,0.21351446491883602,0.10311336907750798
Ridge,Best Features RF,11,Power Transform Standardized,0.0674466080003969,0.21126799144556063,0.12046885536996606
Ridge,Best Features RF,98,Power Transform Standardized,0.044768836962038414,0.1682933375166363,0.4151170201285401
Linear Regression,98% Zero Values Removed,False,Standard Scaler,0.04094656370155403,0.1557854862654085,0.4652731449847803
Linear Regression,98% Zero Values Removed,9,Standard Scaler,0.06883435525967874,0.2145565753830017,0.10224705565920986
Linear Regression,98% Zero Values Removed,11,Standard Scaler,0.06707707336426136,0.2115789841274212,0.1252076685145166
Linear Regression,98% Zero Values Removed,98,Standard Scaler,0.0452402081014891,0.16765752688952032,0.4093889551979865
Linear Regression,98% Zero Values Removed,False,Power Transform,0.04144849006943045,0.1561089598660723,0.45850026372353814
Linear Regression,98% Zero Values Removed,9,Power Transform,0.06916191766262787,0.21529371995192187,0.097836328040215
Linear Regression,98% Zero Values Removed,11,Power Transform,0.0660739862090075,0.20883309522774382,0.13787990031645356
Linear Regression,98% Zero Values Removed,98,Power Transform,0.0453944836022014,0.16794468173659305,0.4072669537617233
Linear Regression,98% Zero Values Removed,False,Power Transform Standardized,0.04142593806977482,0.15603832700977877,0.45879917898254685
Linear Regression,98% Zero Values Removed,9,Power Transform Standardized,0.06520148453087109,0.20754298155382203,0.1495830305083803
Linear Regression,98% Zero Values Removed,11,Power Transform Standardized,0.0640666935481748,0.2050780474526846,0.16428522318800814
Linear Regression,98% Zero Values Removed,98,Power Transform Standardized,0.0454365297879102,0.16811587241502246,0.4067185747134293
Support Vector Machine,98% Zero Values Removed,False,Standard Scaler,0.02706742117262781,0.12583436634753825,0.6464460269805572
Support Vector Machine,98% Zero Values Removed,9,Standard Scaler,0.05195647548025961,0.17732347380310504,0.3220737365513599
Support Vector Machine,98% Zero Values Removed,11,Standard Scaler,0.048392325239319404,0.17062774238434472,0.36823334079258147
Support Vector Machine,98% Zero Values Removed,98,Standard Scaler,0.028327649780280566,0.1274472781614795,0.629986881624046
Support Vector Machine,98% Zero Values Removed,False,Power Transform,0.026792081510888844,0.12573009582832612,0.6500414137836203
Support Vector Machine,98% Zero Values Removed,9,Power Transform,0.049691896408415676,0.1724454589481764,0.35125098623062867
Support Vector Machine,98% Zero Values Removed,11,Power Transform,0.04501120758767081,0.16294938913188023,0.4119865966136248
Support Vector Machine,98% Zero Values Removed,98,Power Transform,0.02784496374965212,0.1264313640251716,0.6363167819397566
Support Vector Machine,98% Zero Values Removed,False,Power Transform Standardized,0.02756429067022948,0.12682279914657285,0.6398956721720391
Support Vector Machine,98% Zero Values Removed,9,Power Transform Standardized,0.04497631501864777,0.16371378884979979,0.41254630587760993
Support Vector Machine,98% Zero Values Removed,11,Power Transform Standardized,0.04197512739373417,0.15762233193858582,0.4517394343750761
Support Vector Machine,98% Zero Values Removed,98,Power Transform Standardized,0.027544684510670277,0.125499016574005,0.6402700872092877
AdaBoost,98% Zero Values Removed,False,Standard Scaler,0.06272264995790613,0.20677030784679418,0.18154248093579453
AdaBoost,98% Zero Values Removed,9,Standard Scaler,0.06703406910640385,0.21300109443201348,0.12500452693638991
AdaBoost,98% Zero Values Removed,11,Standard Scaler,0.06576614727430798,0.21084791300697892,0.14202747246826403
AdaBoost,98% Zero Values Removed,98,Standard Scaler,0.05981949582781312,0.20076068025512614,0.21912101742658346
AdaBoost,98% Zero Values Removed,False,Power Transform,0.06183595893216084,0.20469812563120343,0.19292355158562496
AdaBoost,98% Zero Values Removed,9,Power Transform,0.06759231061305243,0.21447310348347623,0.11763383059255375
AdaBoost,98% Zero Values Removed,11,Power Transform,0.06522267029025447,0.21025663031725084,0.14878845148885272
AdaBoost,98% Zero Values Removed,98,Power Transform,0.059384401867667566,0.20026837618611376,0.2251955630700413
AdaBoost,98% Zero Values Removed,False,Power Transform Standardized,0.06298331154951989,0.20690522730900424,0.17869546251470994
AdaBoost,98% Zero Values Removed,9,Power Transform Standardized,0.06378707095107762,0.20662948982885468,0.16781319718747284
AdaBoost,98% Zero Values Removed,11,Power Transform Standardized,0.06388286231309863,0.2069004137918947,0.1659935832170985
AdaBoost,98% Zero Values Removed,98,Power Transform Standardized,0.05934548352302962,0.19993548103394318,0.22550836281551465
Bagging,98% Zero Values Removed,False,Standard Scaler,0.032101979693199105,0.13382426953251386,0.580358953856926
Bagging,98% Zero Values Removed,9,Standard Scaler,0.044982790991040356,0.16305640832814558,0.4126343259258748
Bagging,98% Zero Values Removed,11,Standard Scaler,0.0441301379613135,0.16098070500487888,0.4242218130899092
Bagging,98% Zero Values Removed,98,Standard Scaler,0.039870172348608096,0.15216583781433735,0.4791842068048437
Bagging,98% Zero Values Removed,False,Power Transform,0.03241508124818217,0.1342526061702473,0.5764584459216674
Bagging,98% Zero Values Removed,9,Power Transform,0.04648234082870939,0.16612728183126133,0.3924030031948188
Bagging,98% Zero Values Removed,11,Power Transform,0.04360235426579462,0.15974030165195602,0.43068360318505083
Bagging,98% Zero Values Removed,98,Power Transform,0.039085089422488624,0.15295575726601074,0.4895919411676665
Bagging,98% Zero Values Removed,False,Power Transform Standardized,0.03243148620439802,0.1345275456651109,0.5763187707273362
Bagging,98% Zero Values Removed,9,Power Transform Standardized,0.04373277390959035,0.16070875979065424,0.42943668399477397
Bagging,98% Zero Values Removed,11,Power Transform Standardized,0.042135164765782024,0.15747698180550213,0.4498786114408084
Bagging,98% Zero Values Removed,98,Power Transform Standardized,0.03857249238133231,0.15032818637159923,0.49659986527530087
KNeighborsRegressor,98% Zero Values Removed,False,Standard Scaler,0.029803314406987157,0.12631949559436054,0.6107012472599844
KNeighborsRegressor,98% Zero Values Removed,9,Standard Scaler,0.04108997672521959,0.15056703858188608,0.4636539269958281
KNeighborsRegressor,98% Zero Values Removed,11,Standard Scaler,0.03978568500866726,0.14792725746305857,0.4809248697642915
KNeighborsRegressor,98% Zero Values Removed,98,Standard Scaler,0.030697313854545678,0.12813777922635503,0.599321388564727
KNeighborsRegressor,98% Zero Values Removed,False,Power Transform,0.030125580850825118,0.12713438371444893,0.6067936211473544
KNeighborsRegressor,98% Zero Values Removed,9,Power Transform,0.04238169734260689,0.153246982534202,0.44692280661501266
KNeighborsRegressor,98% Zero Values Removed,11,Power Transform,0.03984478808580653,0.14764666962929482,0.48005981170835554
KNeighborsRegressor,98% Zero Values Removed,98,Power Transform,0.03154371261875983,0.12986125756420425,0.5885155797431443
KNeighborsRegressor,98% Zero Values Removed,False,Power Transform Standardized,0.029849948366580385,0.1261345115398483,0.6102114080992871
KNeighborsRegressor,98% Zero Values Removed,9,Power Transform Standardized,0.039339692801971124,0.1488181186806353,0.4867389957581151
KNeighborsRegressor,98% Zero Values Removed,11,Power Transform Standardized,0.03727288915381136,0.14379714988196285,0.5135736951180545
KNeighborsRegressor,98% Zero Values Removed,98,Power Transform Standardized,0.030238711101558922,0.1273676834375021,0.6052765449543523
Elastic Net,98% Zero Values Removed,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,98% Zero Values Removed,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
